Rank,Premier League,Played (H | A),Won (H | A),Drawn (H | A),Lost (H | A),GD,Pts

1,6 (3 | 3),5 (3 | 2),0 (0 | 0),1 (0 | 1),7,15
2,6 (3 | 3),4 (3 | 1),2 (0 | 2),0 (0 | 0),14,14
3,6 (3 | 3),4 (3 | 1),2 (0 | 2),0 (0 | 0),7,14
4,6 (3 | 3),4 (2 | 2),1 (1 | 0),1 (0 | 1),6,13
5,6 (3 | 3),4 (2 | 2),0 (0 | 0),2 (1 | 1),0,12
6,6 (3 | 3),3 (2 | 1),1 (1 | 0),2 (0 | 2),-1,10
7,6 (3 | 3),2 (2 | 0),3 (1 | 2),1 (0 | 1),9,9
8,6 (3 | 3),2 (2 | 0),3 (1 | 2),1 (0 | 1),6,9
9,6 (3 | 3),2 (2 | 0),2 (1 | 1),2 (0 | 2),0,8
10,6 (3 | 3),2 (2 | 0),2 (1 | 1),2 (0 | 2),0,8
11,6 (3 | 3),1 (1 | 0),4 (2 | 2),1 (0 | 1),1,7
12,6 (3 | 3),2 (1 | 1),1 (1 | 0),3 (1 | 2),-3,7
13,6 (3 | 3),2 (1 | 1),1 (1 | 0),3 (1 | 2),-13,7
14,6 (3 | 3),1 (1 | 0),3 (2 | 1),2 (0 | 2),-1,6
15,6 (3 | 3),1 (1 | 0),3 (1 | 2),2 (1 | 1),-2,6
16,6 (3 | 3),0 (0 | 0),4 (2 | 2),2 (1 | 1),-2,4
17,6 (3 | 3),1 (1 | 0),1 (1 | 0),4 (1 | 3),-5,4
18,6 (3 | 3),1 (0 | 1),1 (1 | 0),4 (2 | 2),-5,4
19,6 (3 | 3),1 (1 | 0),1 (0 | 1),4 (2 | 2),-10,4
20,6 (3 | 3),0 (0 | 0),1 (1 | 0),5 (2 | 3),-8,1

Champions League (League Winners): Arsenal
Champions League (League Position): Manchester City, Tottenham Hotspur, Brighton and Hove Albion
Europa Cup (League Position): Manchester United
Relegation (League Position): West Ham United, Nottingham Forest, Leicester City
